[Fold 4][Epoch 001] train_loss=0.9969 acc=0.4607 f1=0.4561 | val_loss=0.9213 acc=0.5011 f1=0.5053 | epoch_time=5.83s
[Fold 4][Epoch 002] train_loss=0.8850 acc=0.5277 f1=0.5223 | val_loss=0.8883 acc=0.5532 f1=0.5470 | epoch_time=5.86s
[Fold 4][Epoch 003] train_loss=0.8587 acc=0.5435 f1=0.5288 | val_loss=0.8822 acc=0.5266 f1=0.5204 | epoch_time=5.79s
[Fold 4][Epoch 004] train_loss=0.8449 acc=0.5668 f1=0.5580 | val_loss=0.8652 acc=0.5510 f1=0.5396 | epoch_time=5.83s
[Fold 4][Epoch 005] train_loss=0.8316 acc=0.5751 f1=0.5677 | val_loss=0.8576 acc=0.5698 f1=0.5427 | epoch_time=5.82s
[Fold 4][Epoch 006] train_loss=0.8223 acc=0.5892 f1=0.5817 | val_loss=0.8431 acc=0.5820 f1=0.5747 | epoch_time=5.87s
[Fold 4][Epoch 007] train_loss=0.8017 acc=0.6094 f1=0.6027 | val_loss=0.8462 acc=0.5576 f1=0.5449 | epoch_time=5.81s
[Fold 4][Epoch 008] train_loss=0.8016 acc=0.5867 f1=0.5823 | val_loss=0.8485 acc=0.5621 f1=0.5117 | epoch_time=5.84s
[Fold 4][Epoch 009] train_loss=0.7941 acc=0.6072 f1=0.5990 | val_loss=0.8333 acc=0.5565 f1=0.5450 | epoch_time=5.84s
[Fold 4][Epoch 010] train_loss=0.7942 acc=0.6042 f1=0.5940 | val_loss=0.8290 acc=0.5621 f1=0.5604 | epoch_time=5.84s
[Fold 4][Epoch 011] train_loss=0.7764 acc=0.6183 f1=0.6115 | val_loss=0.8348 acc=0.5466 f1=0.5430 | epoch_time=5.83s
[Fold 4][Epoch 012] train_loss=0.7793 acc=0.6139 f1=0.6051 | val_loss=0.8314 acc=0.5732 f1=0.5698 | epoch_time=5.82s
[Fold 4][Epoch 013] train_loss=0.7800 acc=0.6188 f1=0.6166 | val_loss=0.8329 acc=0.5754 f1=0.5619 | epoch_time=5.81s
[Fold 4][Epoch 014] train_loss=0.7618 acc=0.6224 f1=0.6158 | val_loss=0.8155 acc=0.5931 f1=0.5833 | epoch_time=5.82s
[Fold 4][Epoch 015] train_loss=0.7559 acc=0.6335 f1=0.6288 | val_loss=0.8058 acc=0.5887 f1=0.5857 | epoch_time=5.83s
[Fold 4][Epoch 016] train_loss=0.7521 acc=0.6463 f1=0.6403 | val_loss=0.8125 acc=0.5787 f1=0.5788 | epoch_time=5.84s
[Fold 4][Epoch 017] train_loss=0.7459 acc=0.6413 f1=0.6373 | val_loss=0.8226 acc=0.5632 f1=0.5537 | epoch_time=5.82s
[Fold 4][Epoch 018] train_loss=0.7440 acc=0.6396 f1=0.6336 | val_loss=0.8242 acc=0.5654 f1=0.5598 | epoch_time=5.87s
[Fold 4][Epoch 019] train_loss=0.7529 acc=0.6341 f1=0.6298 | val_loss=0.8223 acc=0.5776 f1=0.5757 | epoch_time=5.77s
[Fold 4][Epoch 020] train_loss=0.7427 acc=0.6393 f1=0.6359 | val_loss=0.8120 acc=0.5887 f1=0.5749 | epoch_time=5.83s
[Fold 4][Epoch 021] train_loss=0.7449 acc=0.6343 f1=0.6309 | val_loss=0.8014 acc=0.5942 f1=0.5895 | epoch_time=5.80s
[Fold 4][Epoch 022] train_loss=0.7266 acc=0.6540 f1=0.6484 | val_loss=0.8081 acc=0.5920 f1=0.5867 | epoch_time=5.83s
[Fold 4][Epoch 023] train_loss=0.7256 acc=0.6532 f1=0.6488 | val_loss=0.8045 acc=0.5931 f1=0.5918 | epoch_time=5.85s
