[Fold 3][Epoch 001] train_loss=1.0076 acc=0.4258 f1=0.4298 | val_loss=0.8923 acc=0.5055 f1=0.4282 | epoch_time=5.79s
[Fold 3][Epoch 002] train_loss=0.8758 acc=0.5291 f1=0.5208 | val_loss=0.8684 acc=0.5222 f1=0.5020 | epoch_time=5.83s
[Fold 3][Epoch 003] train_loss=0.8557 acc=0.5548 f1=0.5472 | val_loss=0.8474 acc=0.5610 f1=0.5554 | epoch_time=5.83s
[Fold 3][Epoch 004] train_loss=0.8450 acc=0.5609 f1=0.5535 | val_loss=0.8537 acc=0.5743 f1=0.5639 | epoch_time=5.85s
[Fold 3][Epoch 005] train_loss=0.8320 acc=0.5875 f1=0.5805 | val_loss=0.8319 acc=0.5965 f1=0.5764 | epoch_time=5.83s
[Fold 3][Epoch 006] train_loss=0.8174 acc=0.5914 f1=0.5809 | val_loss=0.8242 acc=0.5887 f1=0.5770 | epoch_time=5.83s
[Fold 3][Epoch 007] train_loss=0.8132 acc=0.5823 f1=0.5732 | val_loss=0.8151 acc=0.5865 f1=0.5771 | epoch_time=5.84s
[Fold 3][Epoch 008] train_loss=0.8007 acc=0.5947 f1=0.5861 | val_loss=0.8302 acc=0.5721 f1=0.5559 | epoch_time=5.93s
[Fold 3][Epoch 009] train_loss=0.8031 acc=0.5928 f1=0.5866 | val_loss=0.8250 acc=0.5809 f1=0.5425 | epoch_time=5.83s
[Fold 3][Epoch 010] train_loss=0.8030 acc=0.5842 f1=0.5741 | val_loss=0.7996 acc=0.5909 f1=0.5805 | epoch_time=5.80s
[Fold 3][Epoch 011] train_loss=0.7904 acc=0.5964 f1=0.5885 | val_loss=0.7941 acc=0.6086 f1=0.5914 | epoch_time=5.84s
[Fold 3][Epoch 012] train_loss=0.7812 acc=0.6119 f1=0.6017 | val_loss=0.7833 acc=0.6186 f1=0.6143 | epoch_time=5.78s
[Fold 3][Epoch 013] train_loss=0.7775 acc=0.6155 f1=0.6076 | val_loss=0.7838 acc=0.6131 f1=0.5968 | epoch_time=5.84s
[Fold 3][Epoch 014] train_loss=0.7780 acc=0.6161 f1=0.6092 | val_loss=0.7761 acc=0.6231 f1=0.6170 | epoch_time=5.81s
[Fold 3][Epoch 015] train_loss=0.7708 acc=0.6199 f1=0.6143 | val_loss=0.7782 acc=0.6220 f1=0.6188 | epoch_time=5.79s
[Fold 3][Epoch 016] train_loss=0.7779 acc=0.6141 f1=0.6086 | val_loss=0.7765 acc=0.6341 f1=0.6261 | epoch_time=5.81s
[Fold 3][Epoch 017] train_loss=0.7642 acc=0.6330 f1=0.6258 | val_loss=0.7845 acc=0.6186 f1=0.6085 | epoch_time=5.82s
