[Fold 2][Epoch 001] train_loss=1.0060 acc=0.4544 f1=0.4546 | val_loss=0.8957 acc=0.5150 f1=0.4176 | epoch_time=5.90s
[Fold 2][Epoch 002] train_loss=0.8890 acc=0.5098 f1=0.4964 | val_loss=0.8508 acc=0.5670 f1=0.5543 | epoch_time=5.85s
[Fold 2][Epoch 003] train_loss=0.8595 acc=0.5500 f1=0.5247 | val_loss=0.8408 acc=0.5526 f1=0.5402 | epoch_time=5.85s
[Fold 2][Epoch 004] train_loss=0.8506 acc=0.5639 f1=0.5522 | val_loss=0.8381 acc=0.5482 f1=0.5309 | epoch_time=5.84s
[Fold 2][Epoch 005] train_loss=0.8387 acc=0.5600 f1=0.5486 | val_loss=0.8260 acc=0.5393 f1=0.5297 | epoch_time=5.81s
[Fold 2][Epoch 006] train_loss=0.8288 acc=0.5705 f1=0.5567 | val_loss=0.8089 acc=0.5615 f1=0.5478 | epoch_time=5.78s
[Fold 2][Epoch 007] train_loss=0.8245 acc=0.5910 f1=0.5802 | val_loss=0.8077 acc=0.5637 f1=0.5504 | epoch_time=5.81s
[Fold 2][Epoch 008] train_loss=0.8149 acc=0.5860 f1=0.5782 | val_loss=0.7896 acc=0.5925 f1=0.5786 | epoch_time=5.86s
[Fold 2][Epoch 009] train_loss=0.8069 acc=0.5952 f1=0.5883 | val_loss=0.7955 acc=0.5548 f1=0.5433 | epoch_time=5.82s
[Fold 2][Epoch 010] train_loss=0.8154 acc=0.5871 f1=0.5733 | val_loss=0.7968 acc=0.5559 f1=0.5356 | epoch_time=5.81s
[Fold 2][Epoch 011] train_loss=0.7987 acc=0.6032 f1=0.5946 | val_loss=0.7824 acc=0.5803 f1=0.5722 | epoch_time=5.87s
[Fold 2][Epoch 012] train_loss=0.7939 acc=0.6060 f1=0.5970 | val_loss=0.7844 acc=0.5825 f1=0.5730 | epoch_time=5.82s
[Fold 2][Epoch 013] train_loss=0.7914 acc=0.6101 f1=0.6000 | val_loss=0.7665 acc=0.6213 f1=0.6109 | epoch_time=5.79s
[Fold 2][Epoch 014] train_loss=0.7734 acc=0.6295 f1=0.6185 | val_loss=0.7625 acc=0.6412 f1=0.6369 | epoch_time=5.82s
[Fold 2][Epoch 015] train_loss=0.7715 acc=0.6354 f1=0.6297 | val_loss=0.7638 acc=0.6058 f1=0.5987 | epoch_time=5.79s
[Fold 2][Epoch 016] train_loss=0.7799 acc=0.6185 f1=0.6110 | val_loss=0.7589 acc=0.6346 f1=0.6312 | epoch_time=5.83s
[Fold 2][Epoch 017] train_loss=0.7651 acc=0.6293 f1=0.6229 | val_loss=0.7516 acc=0.6390 f1=0.6376 | epoch_time=5.85s
[Fold 2][Epoch 018] train_loss=0.7649 acc=0.6415 f1=0.6356 | val_loss=0.7686 acc=0.6024 f1=0.5950 | epoch_time=5.82s
[Fold 2][Epoch 019] train_loss=0.7842 acc=0.6085 f1=0.6024 | val_loss=0.7501 acc=0.6124 f1=0.6022 | epoch_time=5.81s
[Fold 2][Epoch 020] train_loss=0.7562 acc=0.6428 f1=0.6370 | val_loss=0.7487 acc=0.6312 f1=0.6227 | epoch_time=5.84s
[Fold 2][Epoch 021] train_loss=0.7522 acc=0.6298 f1=0.6248 | val_loss=0.7492 acc=0.6091 f1=0.6019 | epoch_time=5.83s
[Fold 2][Epoch 022] train_loss=0.7508 acc=0.6390 f1=0.6322 | val_loss=0.7503 acc=0.6246 f1=0.6160 | epoch_time=5.85s
[Fold 2][Epoch 023] train_loss=0.7516 acc=0.6359 f1=0.6299 | val_loss=0.7385 acc=0.6423 f1=0.6319 | epoch_time=5.89s
[Fold 2][Epoch 024] train_loss=0.7480 acc=0.6356 f1=0.6294 | val_loss=0.7485 acc=0.6179 f1=0.6090 | epoch_time=5.87s
[Fold 2][Epoch 025] train_loss=0.7348 acc=0.6417 f1=0.6358 | val_loss=0.7306 acc=0.6390 f1=0.6353 | epoch_time=5.84s
[Fold 2][Epoch 026] train_loss=0.7278 acc=0.6462 f1=0.6407 | val_loss=0.7326 acc=0.6467 f1=0.6464 | epoch_time=5.82s
[Fold 2][Epoch 027] train_loss=0.7285 acc=0.6464 f1=0.6414 | val_loss=0.7317 acc=0.6390 f1=0.6311 | epoch_time=5.80s
[Fold 2][Epoch 028] train_loss=0.7197 acc=0.6536 f1=0.6501 | val_loss=0.7234 acc=0.6556 f1=0.6514 | epoch_time=5.87s
[Fold 2][Epoch 029] train_loss=0.7122 acc=0.6531 f1=0.6486 | val_loss=0.7199 acc=0.6512 f1=0.6463 | epoch_time=5.86s
