[Fold 3][Epoch 001] train_loss=0.9455 acc=0.5182 f1=0.4944 | val_loss=0.8309 acc=0.5549 f1=0.4350 | epoch_time=6.44s
[Fold 3][Epoch 002] train_loss=0.7978 acc=0.5809 f1=0.5509 | val_loss=0.7922 acc=0.5439 f1=0.4599 | epoch_time=6.49s
[Fold 3][Epoch 003] train_loss=0.7838 acc=0.5919 f1=0.5592 | val_loss=0.7673 acc=0.5918 f1=0.5329 | epoch_time=6.45s
[Fold 3][Epoch 004] train_loss=0.7668 acc=0.6126 f1=0.5858 | val_loss=0.7637 acc=0.5918 f1=0.5486 | epoch_time=6.48s
[Fold 3][Epoch 005] train_loss=0.7533 acc=0.6288 f1=0.6043 | val_loss=0.7512 acc=0.6028 f1=0.5778 | epoch_time=6.45s
[Fold 3][Epoch 006] train_loss=0.7490 acc=0.6306 f1=0.6037 | val_loss=0.7391 acc=0.5958 f1=0.5660 | epoch_time=6.42s
[Fold 3][Epoch 007] train_loss=0.7339 acc=0.6383 f1=0.6152 | val_loss=0.7373 acc=0.6058 f1=0.5807 | epoch_time=6.46s
[Fold 3][Epoch 008] train_loss=0.7300 acc=0.6368 f1=0.6146 | val_loss=0.7386 acc=0.5978 f1=0.5590 | epoch_time=6.46s
[Fold 3][Epoch 009] train_loss=0.7254 acc=0.6365 f1=0.6109 | val_loss=0.7251 acc=0.6248 f1=0.5977 | epoch_time=6.47s
[Fold 3][Epoch 010] train_loss=0.7132 acc=0.6593 f1=0.6363 | val_loss=0.7307 acc=0.6088 f1=0.5778 | epoch_time=6.43s
[Fold 3][Epoch 011] train_loss=0.7103 acc=0.6540 f1=0.6336 | val_loss=0.7140 acc=0.6407 f1=0.6187 | epoch_time=6.46s
[Fold 3][Epoch 012] train_loss=0.7084 acc=0.6590 f1=0.6385 | val_loss=0.7274 acc=0.6267 f1=0.6078 | epoch_time=6.44s
[Fold 3][Epoch 013] train_loss=0.7124 acc=0.6558 f1=0.6348 | val_loss=0.7129 acc=0.6347 f1=0.6107 | epoch_time=6.45s
[Fold 3][Epoch 014] train_loss=0.7017 acc=0.6630 f1=0.6401 | val_loss=0.7234 acc=0.6218 f1=0.5954 | epoch_time=6.44s
[Fold 3][Epoch 015] train_loss=0.6985 acc=0.6610 f1=0.6429 | val_loss=0.7168 acc=0.6307 f1=0.5865 | epoch_time=6.45s
[Fold 3][Epoch 016] train_loss=0.6978 acc=0.6615 f1=0.6377 | val_loss=0.6973 acc=0.6567 f1=0.6317 | epoch_time=6.40s
