[Fold 2][Epoch 001] train_loss=0.9381 acc=0.5170 f1=0.5031 | val_loss=0.8124 acc=0.5968 f1=0.5774 | epoch_time=6.53s
[Fold 2][Epoch 002] train_loss=0.8001 acc=0.5754 f1=0.5442 | val_loss=0.7995 acc=0.6008 f1=0.5708 | epoch_time=6.58s
[Fold 2][Epoch 003] train_loss=0.7813 acc=0.5994 f1=0.5735 | val_loss=0.7979 acc=0.5978 f1=0.5037 | epoch_time=6.49s
[Fold 2][Epoch 004] train_loss=0.7757 acc=0.6021 f1=0.5726 | val_loss=0.7823 acc=0.6168 f1=0.5872 | epoch_time=6.53s
[Fold 2][Epoch 005] train_loss=0.7613 acc=0.6101 f1=0.5826 | val_loss=0.7897 acc=0.5719 f1=0.4948 | epoch_time=6.53s
[Fold 2][Epoch 006] train_loss=0.7627 acc=0.6028 f1=0.5742 | val_loss=0.7608 acc=0.6447 f1=0.6244 | epoch_time=6.51s
[Fold 2][Epoch 007] train_loss=0.7453 acc=0.6246 f1=0.6006 | val_loss=0.7487 acc=0.6357 f1=0.6132 | epoch_time=6.54s
[Fold 2][Epoch 008] train_loss=0.7336 acc=0.6343 f1=0.6102 | val_loss=0.7515 acc=0.6068 f1=0.5870 | epoch_time=6.50s
[Fold 2][Epoch 009] train_loss=0.7337 acc=0.6256 f1=0.6015 | val_loss=0.7427 acc=0.6178 f1=0.5911 | epoch_time=6.46s
[Fold 2][Epoch 010] train_loss=0.7196 acc=0.6365 f1=0.6125 | val_loss=0.7348 acc=0.6557 f1=0.6405 | epoch_time=6.52s
[Fold 2][Epoch 011] train_loss=0.7180 acc=0.6363 f1=0.6151 | val_loss=0.7312 acc=0.6387 f1=0.6243 | epoch_time=6.42s
[Fold 2][Epoch 012] train_loss=0.7088 acc=0.6523 f1=0.6320 | val_loss=0.7261 acc=0.6387 f1=0.6192 | epoch_time=6.47s
[Fold 2][Epoch 013] train_loss=0.7079 acc=0.6573 f1=0.6352 | val_loss=0.7309 acc=0.6457 f1=0.6205 | epoch_time=6.45s
[Fold 2][Epoch 014] train_loss=0.6993 acc=0.6578 f1=0.6361 | val_loss=0.7442 acc=0.6467 f1=0.6080 | epoch_time=6.45s
[Fold 2][Epoch 015] train_loss=0.7039 acc=0.6490 f1=0.6286 | val_loss=0.7203 acc=0.6437 f1=0.5936 | epoch_time=6.53s
[Fold 2][Epoch 016] train_loss=0.6907 acc=0.6692 f1=0.6467 | val_loss=0.7072 acc=0.6487 f1=0.6308 | epoch_time=6.52s
[Fold 2][Epoch 017] train_loss=0.6859 acc=0.6653 f1=0.6492 | val_loss=0.7086 acc=0.6747 f1=0.6501 | epoch_time=6.54s
[Fold 2][Epoch 018] train_loss=0.6823 acc=0.6742 f1=0.6538 | val_loss=0.7154 acc=0.6327 f1=0.6104 | epoch_time=6.47s
[Fold 2][Epoch 019] train_loss=0.6743 acc=0.6722 f1=0.6537 | val_loss=0.7029 acc=0.6587 f1=0.6380 | epoch_time=6.50s
[Fold 2][Epoch 020] train_loss=0.6757 acc=0.6742 f1=0.6569 | val_loss=0.6975 acc=0.6786 f1=0.6502 | epoch_time=6.58s
[Fold 2][Epoch 021] train_loss=0.6726 acc=0.6760 f1=0.6561 | val_loss=0.6842 acc=0.6756 f1=0.6575 | epoch_time=6.48s
[Fold 2][Epoch 022] train_loss=0.6578 acc=0.6932 f1=0.6762 | val_loss=0.6919 acc=0.6567 f1=0.6215 | epoch_time=6.47s
[Fold 2][Epoch 023] train_loss=0.6676 acc=0.6762 f1=0.6575 | val_loss=0.6889 acc=0.6517 f1=0.6298 | epoch_time=6.53s
[Fold 2][Epoch 024] train_loss=0.6560 acc=0.6892 f1=0.6731 | val_loss=0.6713 acc=0.6747 f1=0.6587 | epoch_time=6.63s
[Fold 2][Epoch 025] train_loss=0.6492 acc=0.6955 f1=0.6792 | val_loss=0.7044 acc=0.6397 f1=0.6052 | epoch_time=6.45s
[Fold 2][Epoch 026] train_loss=0.6501 acc=0.6952 f1=0.6782 | val_loss=0.6837 acc=0.6497 f1=0.6215 | epoch_time=6.50s
[Fold 2][Epoch 027] train_loss=0.6459 acc=0.6942 f1=0.6770 | val_loss=0.6773 acc=0.6677 f1=0.6472 | epoch_time=6.52s
[Fold 2][Epoch 028] train_loss=0.6505 acc=0.6865 f1=0.6688 | val_loss=0.6780 acc=0.6597 f1=0.6448 | epoch_time=6.59s
[Fold 2][Epoch 029] train_loss=0.6415 acc=0.6892 f1=0.6719 | val_loss=0.6644 acc=0.6776 f1=0.6580 | epoch_time=6.51s
[Fold 2][Epoch 030] train_loss=0.6273 acc=0.7137 f1=0.6978 | val_loss=0.6637 acc=0.6737 f1=0.6561 | epoch_time=6.51s
[Fold 2][Epoch 031] train_loss=0.6265 acc=0.7082 f1=0.6928 | val_loss=0.6607 acc=0.6856 f1=0.6629 | epoch_time=6.43s
[Fold 2][Epoch 032] train_loss=0.6221 acc=0.7097 f1=0.6932 | val_loss=0.6625 acc=0.6826 f1=0.6649 | epoch_time=6.52s
[Fold 2][Epoch 033] train_loss=0.6261 acc=0.7019 f1=0.6867 | val_loss=0.6622 acc=0.6717 f1=0.6518 | epoch_time=6.49s
[Fold 2][Epoch 034] train_loss=0.6203 acc=0.7004 f1=0.6827 | val_loss=0.6701 acc=0.6776 f1=0.6480 | epoch_time=6.50s
[Fold 2][Epoch 035] train_loss=0.6227 acc=0.7074 f1=0.6915 | val_loss=0.6549 acc=0.6886 f1=0.6646 | epoch_time=6.50s
[Fold 2][Epoch 036] train_loss=0.6183 acc=0.7104 f1=0.6961 | val_loss=0.6632 acc=0.6826 f1=0.6595 | epoch_time=6.50s
[Fold 2][Epoch 037] train_loss=0.6156 acc=0.7102 f1=0.6953 | val_loss=0.6577 acc=0.6896 f1=0.6742 | epoch_time=6.47s
[Fold 2][Epoch 038] train_loss=0.6241 acc=0.7074 f1=0.6909 | val_loss=0.6486 acc=0.6866 f1=0.6724 | epoch_time=6.51s
[Fold 2][Epoch 039] train_loss=0.6160 acc=0.7154 f1=0.7009 | val_loss=0.6579 acc=0.6766 f1=0.6555 | epoch_time=6.51s
[Fold 2][Epoch 040] train_loss=0.6144 acc=0.7112 f1=0.6936 | val_loss=0.6490 acc=0.6747 f1=0.6586 | epoch_time=6.46s
[Fold 2][Epoch 041] train_loss=0.6152 acc=0.7089 f1=0.6940 | val_loss=0.6573 acc=0.6776 f1=0.6505 | epoch_time=6.53s
[Fold 2][Epoch 042] train_loss=0.6140 acc=0.7139 f1=0.7000 | val_loss=0.6485 acc=0.6946 f1=0.6759 | epoch_time=6.46s
[Fold 2][Epoch 043] train_loss=0.6081 acc=0.7159 f1=0.7002 | val_loss=0.6439 acc=0.6876 f1=0.6759 | epoch_time=6.48s
[Fold 2][Epoch 044] train_loss=0.6118 acc=0.7087 f1=0.6925 | val_loss=0.6566 acc=0.6836 f1=0.6673 | epoch_time=6.50s
[Fold 2][Epoch 045] train_loss=0.6105 acc=0.7137 f1=0.6994 | val_loss=0.6686 acc=0.6766 f1=0.6446 | epoch_time=6.54s
[Fold 2][Epoch 046] train_loss=0.6052 acc=0.7179 f1=0.7038 | val_loss=0.6572 acc=0.6916 f1=0.6625 | epoch_time=6.49s
[Fold 2][Epoch 047] train_loss=0.5999 acc=0.7212 f1=0.7057 | val_loss=0.6474 acc=0.6936 f1=0.6760 | epoch_time=6.45s
[Fold 2][Epoch 048] train_loss=0.5998 acc=0.7239 f1=0.7097 | val_loss=0.6431 acc=0.6926 f1=0.6703 | epoch_time=6.45s
[Fold 2][Epoch 049] train_loss=0.5972 acc=0.7239 f1=0.7088 | val_loss=0.6480 acc=0.6886 f1=0.6697 | epoch_time=6.44s
[Fold 2][Epoch 050] train_loss=0.5949 acc=0.7199 f1=0.7054 | val_loss=0.6372 acc=0.6866 f1=0.6704 | epoch_time=6.51s
[Fold 2][Epoch 051] train_loss=0.5906 acc=0.7214 f1=0.7075 | val_loss=0.6428 acc=0.6906 f1=0.6665 | epoch_time=6.50s
[Fold 2][Epoch 052] train_loss=0.5961 acc=0.7217 f1=0.7079 | val_loss=0.6506 acc=0.6896 f1=0.6660 | epoch_time=6.51s
[Fold 2][Epoch 053] train_loss=0.5924 acc=0.7224 f1=0.7072 | val_loss=0.6417 acc=0.6856 f1=0.6651 | epoch_time=6.48s
[Fold 2][Epoch 054] train_loss=0.5881 acc=0.7234 f1=0.7081 | val_loss=0.6419 acc=0.6986 f1=0.6836 | epoch_time=6.50s
[Fold 2][Epoch 055] train_loss=0.5906 acc=0.7244 f1=0.7087 | val_loss=0.6384 acc=0.6916 f1=0.6739 | epoch_time=6.51s
[Fold 2][Epoch 056] train_loss=0.5870 acc=0.7299 f1=0.7156 | val_loss=0.6400 acc=0.6856 f1=0.6677 | epoch_time=6.47s
[Fold 2][Epoch 057] train_loss=0.5847 acc=0.7267 f1=0.7124 | val_loss=0.6403 acc=0.6966 f1=0.6796 | epoch_time=6.55s
[Fold 2][Epoch 058] train_loss=0.5830 acc=0.7289 f1=0.7148 | val_loss=0.6390 acc=0.6996 f1=0.6808 | epoch_time=6.52s
[Fold 2][Epoch 059] train_loss=0.5841 acc=0.7292 f1=0.7152 | val_loss=0.6377 acc=0.6886 f1=0.6720 | epoch_time=6.45s
[Fold 2][Epoch 060] train_loss=0.5835 acc=0.7254 f1=0.7102 | val_loss=0.6392 acc=0.6946 f1=0.6758 | epoch_time=6.47s
[Fold 2][Epoch 061] train_loss=0.5840 acc=0.7267 f1=0.7123 | val_loss=0.6372 acc=0.6916 f1=0.6741 | epoch_time=6.54s
[Fold 2][Epoch 062] train_loss=0.5845 acc=0.7267 f1=0.7121 | val_loss=0.6375 acc=0.6926 f1=0.6743 | epoch_time=6.52s
[Fold 2][Epoch 063] train_loss=0.5842 acc=0.7327 f1=0.7181 | val_loss=0.6376 acc=0.6966 f1=0.6782 | epoch_time=6.55s
[Fold 2][Epoch 064] train_loss=0.5820 acc=0.7304 f1=0.7161 | val_loss=0.6372 acc=0.6916 f1=0.6739 | epoch_time=6.48s
[Fold 2][Epoch 065] train_loss=0.5871 acc=0.7279 f1=0.7132 | val_loss=0.6372 acc=0.6916 f1=0.6737 | epoch_time=6.51s
[Fold 2][Epoch 066] train_loss=0.5812 acc=0.7299 f1=0.7162 | val_loss=0.6383 acc=0.6906 f1=0.6719 | epoch_time=6.50s
[Fold 2][Epoch 067] train_loss=0.5830 acc=0.7279 f1=0.7139 | val_loss=0.6384 acc=0.6896 f1=0.6705 | epoch_time=6.52s
[Fold 2][Epoch 068] train_loss=0.5839 acc=0.7257 f1=0.7118 | val_loss=0.6377 acc=0.6926 f1=0.6739 | epoch_time=6.49s
[Fold 2][Epoch 069] train_loss=0.5811 acc=0.7329 f1=0.7188 | val_loss=0.6377 acc=0.6906 f1=0.6721 | epoch_time=6.47s
[Fold 2][Epoch 070] train_loss=0.5845 acc=0.7277 f1=0.7135 | val_loss=0.6375 acc=0.6886 f1=0.6702 | epoch_time=6.46s
[Fold 2][Epoch 071] train_loss=0.5805 acc=0.7324 f1=0.7183 | val_loss=0.6375 acc=0.6926 f1=0.6741 | epoch_time=6.49s
[Fold 2][Epoch 072] train_loss=0.5801 acc=0.7369 f1=0.7226 | val_loss=0.6372 acc=0.6916 f1=0.6729 | epoch_time=6.47s
[Fold 2][Epoch 073] train_loss=0.5784 acc=0.7336 f1=0.7192 | val_loss=0.6372 acc=0.6916 f1=0.6731 | epoch_time=6.52s
[Fold 2][Epoch 074] train_loss=0.5783 acc=0.7339 f1=0.7204 | val_loss=0.6371 acc=0.6926 f1=0.6741 | epoch_time=6.47s
[Fold 2][Epoch 075] train_loss=0.5839 acc=0.7279 f1=0.7132 | val_loss=0.6371 acc=0.6956 f1=0.6772 | epoch_time=6.49s
[Fold 2][Epoch 076] train_loss=0.5762 acc=0.7332 f1=0.7191 | val_loss=0.6372 acc=0.6916 f1=0.6731 | epoch_time=6.54s
[Fold 2][Epoch 077] train_loss=0.5831 acc=0.7274 f1=0.7130 | val_loss=0.6373 acc=0.6916 f1=0.6731 | epoch_time=6.45s
[Fold 2][Epoch 078] train_loss=0.5804 acc=0.7304 f1=0.7162 | val_loss=0.6375 acc=0.6916 f1=0.6731 | epoch_time=6.49s
[Fold 2][Epoch 079] train_loss=0.5792 acc=0.7344 f1=0.7201 | val_loss=0.6372 acc=0.6916 f1=0.6731 | epoch_time=6.48s
[Fold 2][Epoch 080] train_loss=0.5810 acc=0.7292 f1=0.7147 | val_loss=0.6373 acc=0.6916 f1=0.6731 | epoch_time=6.46s
[Fold 2][Epoch 081] train_loss=0.5835 acc=0.7267 f1=0.7115 | val_loss=0.6374 acc=0.6906 f1=0.6721 | epoch_time=6.47s
[Fold 2][Epoch 082] train_loss=0.5802 acc=0.7302 f1=0.7163 | val_loss=0.6374 acc=0.6916 f1=0.6733 | epoch_time=6.50s
[Fold 2][Epoch 083] train_loss=0.5784 acc=0.7304 f1=0.7163 | val_loss=0.6373 acc=0.6916 f1=0.6733 | epoch_time=6.65s
[Fold 2][Epoch 084] train_loss=0.5800 acc=0.7289 f1=0.7144 | val_loss=0.6374 acc=0.6916 f1=0.6733 | epoch_time=6.47s
[Fold 2][Epoch 085] train_loss=0.5814 acc=0.7317 f1=0.7173 | val_loss=0.6373 acc=0.6916 f1=0.6733 | epoch_time=6.49s
[Fold 2][Epoch 086] train_loss=0.5808 acc=0.7297 f1=0.7155 | val_loss=0.6373 acc=0.6916 f1=0.6733 | epoch_time=6.50s
[Fold 2][Epoch 087] train_loss=0.5797 acc=0.7339 f1=0.7194 | val_loss=0.6373 acc=0.6916 f1=0.6733 | epoch_time=6.48s
[Fold 2][Epoch 088] train_loss=0.5782 acc=0.7346 f1=0.7212 | val_loss=0.6373 acc=0.6926 f1=0.6743 | epoch_time=6.48s
[Fold 2][Epoch 089] train_loss=0.5781 acc=0.7324 f1=0.7181 | val_loss=0.6373 acc=0.6926 f1=0.6743 | epoch_time=6.51s
Early stopping at epoch 89 (best=74)
Total training time: 578.47s
