[Fold 4][Epoch 001] train_loss=0.9585 acc=0.4866 f1=0.4819 | val_loss=0.8216 acc=0.5694 f1=0.4467 | epoch_time=6.46s
[Fold 4][Epoch 002] train_loss=0.8088 acc=0.5618 f1=0.5290 | val_loss=0.7878 acc=0.6104 f1=0.5803 | epoch_time=6.49s
[Fold 4][Epoch 003] train_loss=0.7791 acc=0.5942 f1=0.5623 | val_loss=0.7796 acc=0.5964 f1=0.5214 | epoch_time=6.43s
[Fold 4][Epoch 004] train_loss=0.7674 acc=0.5980 f1=0.5691 | val_loss=0.7746 acc=0.5814 f1=0.5248 | epoch_time=6.42s
[Fold 4][Epoch 005] train_loss=0.7512 acc=0.6117 f1=0.5871 | val_loss=0.7604 acc=0.6244 f1=0.6043 | epoch_time=6.48s
[Fold 4][Epoch 006] train_loss=0.7373 acc=0.6279 f1=0.6025 | val_loss=0.7612 acc=0.6054 f1=0.5790 | epoch_time=6.44s
[Fold 4][Epoch 007] train_loss=0.7354 acc=0.6239 f1=0.6019 | val_loss=0.7561 acc=0.6284 f1=0.5819 | epoch_time=6.45s
[Fold 4][Epoch 008] train_loss=0.7246 acc=0.6356 f1=0.6091 | val_loss=0.7437 acc=0.6434 f1=0.6075 | epoch_time=6.44s
[Fold 4][Epoch 009] train_loss=0.7149 acc=0.6456 f1=0.6234 | val_loss=0.7612 acc=0.6304 f1=0.5855 | epoch_time=6.44s
[Fold 4][Epoch 010] train_loss=0.7109 acc=0.6481 f1=0.6245 | val_loss=0.7384 acc=0.6414 f1=0.6005 | epoch_time=6.45s
[Fold 4][Epoch 011] train_loss=0.7061 acc=0.6546 f1=0.6307 | val_loss=0.7263 acc=0.6394 f1=0.6008 | epoch_time=6.45s
[Fold 4][Epoch 012] train_loss=0.7074 acc=0.6496 f1=0.6251 | val_loss=0.7324 acc=0.6324 f1=0.6104 | epoch_time=6.42s
[Fold 4][Epoch 013] train_loss=0.6947 acc=0.6623 f1=0.6411 | val_loss=0.7194 acc=0.6543 f1=0.6278 | epoch_time=6.45s
[Fold 4][Epoch 014] train_loss=0.6891 acc=0.6658 f1=0.6430 | val_loss=0.7384 acc=0.6503 f1=0.6293 | epoch_time=6.50s
[Fold 4][Epoch 015] train_loss=0.6950 acc=0.6556 f1=0.6344 | val_loss=0.7288 acc=0.6494 f1=0.6208 | epoch_time=6.46s
[Fold 4][Epoch 016] train_loss=0.6858 acc=0.6743 f1=0.6564 | val_loss=0.7102 acc=0.6563 f1=0.6362 | epoch_time=6.46s
[Fold 4][Epoch 017] train_loss=0.6799 acc=0.6731 f1=0.6506 | val_loss=0.7162 acc=0.6474 f1=0.6217 | epoch_time=6.44s
[Fold 4][Epoch 018] train_loss=0.6731 acc=0.6701 f1=0.6509 | val_loss=0.7076 acc=0.6583 f1=0.6403 | epoch_time=6.48s
[Fold 4][Epoch 019] train_loss=0.6763 acc=0.6738 f1=0.6564 | val_loss=0.7115 acc=0.6444 f1=0.6133 | epoch_time=6.43s
[Fold 4][Epoch 020] train_loss=0.6656 acc=0.6758 f1=0.6578 | val_loss=0.6990 acc=0.6523 f1=0.6229 | epoch_time=6.45s
[Fold 4][Epoch 021] train_loss=0.6660 acc=0.6841 f1=0.6657 | val_loss=0.7027 acc=0.6563 f1=0.6257 | epoch_time=6.45s
[Fold 4][Epoch 022] train_loss=0.6640 acc=0.6758 f1=0.6579 | val_loss=0.7062 acc=0.6583 f1=0.6448 | epoch_time=6.45s
[Fold 4][Epoch 023] train_loss=0.6590 acc=0.6870 f1=0.6710 | val_loss=0.6944 acc=0.6613 f1=0.6442 | epoch_time=6.47s
[Fold 4][Epoch 024] train_loss=0.6455 acc=0.6968 f1=0.6811 | val_loss=0.6965 acc=0.6633 f1=0.6381 | epoch_time=6.48s
[Fold 4][Epoch 025] train_loss=0.6505 acc=0.6860 f1=0.6679 | val_loss=0.6931 acc=0.6603 f1=0.6408 | epoch_time=6.46s
[Fold 4][Epoch 026] train_loss=0.6414 acc=0.6940 f1=0.6806 | val_loss=0.6921 acc=0.6723 f1=0.6535 | epoch_time=6.42s
[Fold 4][Epoch 027] train_loss=0.6391 acc=0.7023 f1=0.6869 | val_loss=0.7019 acc=0.6663 f1=0.6461 | epoch_time=6.46s
[Fold 4][Epoch 028] train_loss=0.6334 acc=0.6965 f1=0.6803 | val_loss=0.6797 acc=0.6633 f1=0.6459 | epoch_time=6.42s
